>>> begin
X   :(obs_rew1,obs_state1,time_state1)
Y   :(model2,model_rew1)
ML Y:(model1,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state2)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state3)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state4)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state5)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state6)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state7)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state8)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state9)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state10)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state11)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state12)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action2)
R   :0.4
X   :(obs_rew2,obs_state1,time_state13)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state14)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state15)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state16)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state17)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state18)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state19)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state20)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state21)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state22)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state23)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state24)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
X   :(obs_rew1,obs_state1,time_state25)
Y   :(model2,model_rew1)
O   :(o)
ML Y:(model2,model_rew1)
A   :(action1)
R   :0.5
